name,artists,album_name,date,song_id,cover_url,playlist,position,commit_date
DtMF,Bad Bunny,DeBÍ TiRAR MáS FOToS,2025-01-05,3sK8wGT43QFpWrvNQsrQya,https://i.scdn.co/image/ab67616d0000b273bbd45c8d36e0e045ef640411,VivaLatino,1,2025-01-17
Loco,Neton Vega,Loco,2024-12-20,63EQbNhgaih4yg5412usWG,https://i.scdn.co/image/ab67616d0000b273c16bc1be28cd9728172a77f8,VivaLatino,2,2025-01-17
BAILE INoLVIDABLE,Bad Bunny,DeBÍ TiRAR MáS FOToS,2025-01-05,2lTm559tuIvatlT1u0JYG2,https://i.scdn.co/image/ab67616d0000b273bbd45c8d36e0e045ef640411,VivaLatino,4,2025-01-17
NUEVAYoL,Bad Bunny,DeBÍ TiRAR MáS FOToS,2025-01-05,5TFD2bmFKGhoCRbX61nXY5,https://i.scdn.co/image/ab67616d0000b273bbd45c8d36e0e045ef640411,VivaLatino,5,2025-01-17
ME JALO,"Fuerza Regida, Grupo Frontera",MALA MÍA,2024-12-19,3D24ErT1MMmUfXWotSj2A2,https://i.scdn.co/image/ab67616d0000b273d4cef83f06fc615fe94aeaf5,VivaLatino,9,2025-01-17
Aloh Aloh,Kapo,Aloh Aloh,2025-01-09,6Gs0ljTHKNdr0uJrSLIkGd,https://i.scdn.co/image/ab67616d0000b2737dfba1f457f2b6b8c4716b4b,VivaLatino,21,2025-01-17
Querida Yo,"Yami Safdie, Camilo",Querida Yo,2025-01-16,1dXfyBNV1Dv6Qj73bCtdrk,https://i.scdn.co/image/ab67616d0000b273af7963689c615c3c453067a2,VivaLatino,26,2025-01-17
DtMF,Bad Bunny,DeBÍ TiRAR MáS FOToS,2025-01-05,3sK8wGT43QFpWrvNQsrQya,https://i.scdn.co/image/ab67616d0000b273bbd45c8d36e0e045ef640411,TodayTopHits,6,2025-01-17
BAILE INoLVIDABLE,Bad Bunny,DeBÍ TiRAR MáS FOToS,2025-01-05,2lTm559tuIvatlT1u0JYG2,https://i.scdn.co/image/ab67616d0000b273bbd45c8d36e0e045ef640411,TodayTopHits,13,2025-01-17
BMF,SZA,SOS Deluxe: LANA,2024-12-20,3U3hFkMr0Q90pD24EkE3Pr,https://i.scdn.co/image/ab67616d0000b2737f5a318e3ff35defa8d0e4af,TodayTopHits,15,2025-01-17
Loco,Neton Vega,Loco,2024-12-20,63EQbNhgaih4yg5412usWG,https://i.scdn.co/image/ab67616d0000b273c16bc1be28cd9728172a77f8,TodayTopHits,26,2025-01-17
30 For 30 (with Kendrick Lamar),"SZA, Kendrick Lamar",SOS Deluxe: LANA,2024-12-20,3aSWXU6owkZeVhh94XxEWO,https://i.scdn.co/image/ab67616d0000b2737f5a318e3ff35defa8d0e4af,TodayTopHits,28,2025-01-17
BAILE INoLVIDABLE,Bad Bunny,DeBÍ TiRAR MáS FOToS,2025-01-05,2lTm559tuIvatlT1u0JYG2,https://i.scdn.co/image/ab67616d0000b273bbd45c8d36e0e045ef640411,ExitosColombia,1,2025-01-17
PERFuMITO NUEVO,"Bad Bunny, RaiNao",DeBÍ TiRAR MáS FOToS,2025-01-05,1Q9Efnm5csdCMFynISxL2x,https://i.scdn.co/image/ab67616d0000b273bbd45c8d36e0e045ef640411,ExitosColombia,4,2025-01-17
NUEVAYoL,Bad Bunny,DeBÍ TiRAR MáS FOToS,2025-01-05,5TFD2bmFKGhoCRbX61nXY5,https://i.scdn.co/image/ab67616d0000b273bbd45c8d36e0e045ef640411,FutursHits,9,2025-01-17
Slow Motion,"Marshmello, Jonas Brothers",Slow Motion,2025-01-17,2xijXb00w9o7Ol04MPCL6c,https://i.scdn.co/image/ab67616d0000b273e20a58c0f47a1b5f180f1042,FutursHits,14,2025-01-17
Location,"Zerb, Ty Dolla $ign, Wiz Khalifa",Location,2025-01-03,6Ilomcr9iLplsgAvZjHkJP,https://i.scdn.co/image/ab67616d0000b27323ed374ad59469543181f7b7,FutursHits,20,2025-01-17
Brown Eyes,Oscar Anton,Brown Eyes,2025-01-17,0E3JebQh1CbRvY9zPc668m,https://i.scdn.co/image/ab67616d0000b273b47c06c15a9f11cade20f3a5,CafeCroissant,4,2025-01-17
Orlando in Love,Japanese Breakfast,Orlando in Love,2025-01-07,3qDO9F32RqyPXK34ZujwBc,https://i.scdn.co/image/ab67616d0000b273cf66876b0fc8db86f90a7151,CafeCroissant,8,2025-01-17
