name,artists,album_name,date,song_id,cover_url,playlist,position,commit_date
CONTIGO (with Tiësto),"KAROL G, Tiësto",CONTIGO (with Tiësto),2024-02-15,4UkUxO2WlKLc0Q1iEutGGh,https://i.scdn.co/image/ab67616d0000b273c5426d9daa879064ccf12fb1,FutursHits,8,2024-03-15
Lovers In A Past Life (with Rag'n'Bone Man),"Calvin Harris, RagnBone Man",Lovers In A Past Life (with Rag'n'Bone Man),2024-02-16,6v4ABPB255HDSWyIj3S9Wn,https://i.scdn.co/image/ab67616d0000b273bb08484f74ca64acd08882a1,FutursHits,9,2024-03-15
Bande organisée,Vernis Rouge,Bande organisée,2024-03-01,5lOvw1rwphudYBZssRXJPO,https://i.scdn.co/image/ab67616d0000b273687c65275ed88e4583dea009,FutursHits,11,2024-03-15
Doctor (Work It Out) [feat. Miley Cyrus],"Pharrell Williams, Miley Cyrus",Doctor (Work It Out) [feat. Miley Cyrus],2024-03-01,4f9wNNZET9wH7eMBgONd3d,https://i.scdn.co/image/ab67616d0000b2730b33baa98ef691f09bfa23a1,FutursHits,12,2024-03-15
Position,Franglish,Prime,2024-02-15,3Zw66L4FvI9YUUx17OReRD,https://i.scdn.co/image/ab67616d0000b273ecfbdb578028d4248ecdbe7d,FutursHits,18,2024-03-15
Friendly Fire,Linkin Park,Friendly Fire,2024-02-23,1rAzOr3zpUDRtN2zsqGHiG,https://i.scdn.co/image/ab67616d0000b27337d322b43b5f3aa0215fa0e1,FutursHits,23,2024-03-15
Someone To Be Mine,Boris Way,Someone To Be Mine,2024-03-15,2MyemuuZcxSnb4Dq5rv3o6,https://i.scdn.co/image/ab67616d0000b273f660f493a997de202fda75eb,FutursHits,27,2024-03-15
Your Apartment,Wallows,Your Apartment,2024-02-16,2F8GiqfSE1JSjLGHlHMmQa,https://i.scdn.co/image/ab67616d0000b273eb98ff66db63bf2f3c0a7a4c,ItsAllGood,24,2024-03-15
Training Season,Dua Lipa,Training Season,2024-02-15,6Qb7YsAqH4wWFUMbGsCpap,https://i.scdn.co/image/ab67616d0000b273790260cc86fd7b2678bb204d,GardeLaPeche,4,2024-03-15
Training Season,Dua Lipa,Training Season,2024-02-15,6Qb7YsAqH4wWFUMbGsCpap,https://i.scdn.co/image/ab67616d0000b273790260cc86fd7b2678bb204d,JustHits,1,2024-03-15
Lighter,"Galantis, David Guetta, 5 Seconds of Summer",Lighter,2024-03-01,7hdNTegC0TCKKoxB6GTFH3,https://i.scdn.co/image/ab67616d0000b273c93daad3fd7acf20168abdb9,JustHits,2,2024-03-15
we can't be friends (wait for your love),Ariana Grande,eternal sunshine,2024-03-08,46kspZSY3aKmwQe7O77fCC,https://i.scdn.co/image/ab67616d0000b273c75a14e746ffe2030e8cd5da,JustHits,4,2024-03-15
Doctor (Work It Out) [feat. Miley Cyrus],"Pharrell Williams, Miley Cyrus",Doctor (Work It Out) [feat. Miley Cyrus],2024-03-01,4f9wNNZET9wH7eMBgONd3d,https://i.scdn.co/image/ab67616d0000b2730b33baa98ef691f09bfa23a1,JustHits,5,2024-03-15
Love On,Selena Gomez,Love On,2024-02-22,2fB5YRuD88drKpCXQOAk03,https://i.scdn.co/image/ab67616d0000b2731dd155d9de58c834e0eb38b6,JustHits,11,2024-03-15
"yes, and? (with Mariah Carey) - Remix","Ariana Grande, Mariah Carey","yes, and?",2024-02-16,2z65iWKbjfz4Ey2URvO1pt,https://i.scdn.co/image/ab67616d0000b2733916c10d3f7a8cada1bb30c9,JustHits,18,2024-03-15
EASY (English ver.),LE SSERAFIM,EASY (English ver.),2024-02-23,3y5nzCgwQPoaYWTdoKxWTo,https://i.scdn.co/image/ab67616d0000b273c629ad220477b75a258a8b2d,JustHits,27,2024-03-15
Fuck The Pain Away,"Hannah Laing, Peaches",Triple F,2024-03-08,4xCmCF6pHz0v6vcANehny0,https://i.scdn.co/image/ab67616d0000b27343ea366e4af8a3b9df8f6959,Mint,1,2024-03-15
stayinit,"Fred again.., Lil Yachty, Overmono",stayinit,2024-02-28,6WS2TcsMEGOFtveWbtbuwZ,https://i.scdn.co/image/ab67616d0000b2735ed4a44f611bee241a915e17,Mint,3,2024-03-15
Von dutch,Charli XCX,Von dutch,2024-02-29,01TnMXIy7mJJQ7E8uy937N,https://i.scdn.co/image/ab67616d0000b273c785c27da601350c05390d39,Mint,4,2024-03-15
Buscando Money,"TWENTY SIX, Tayson Kryss",Buscando Money,2024-02-23,6vsKOJPjdxlYgRs8McgtCQ,https://i.scdn.co/image/ab67616d0000b27304a5e9280739d24c9c127864,Mint,7,2024-03-15
Empty,"Martin Garrix, DubVision, Jaimes",Empty,2024-03-08,575ViHchpSUjfTLCQPdE49,https://i.scdn.co/image/ab67616d0000b2733af2b28b3209856b7d35691f,Mint,8,2024-03-15
We Groovin (with Jazzy),"Jamie Jones, Jazzy",We Groovin (with Jazzy),2024-03-01,6LiuMpZjyjjuXFP5Ljo9bv,https://i.scdn.co/image/ab67616d0000b27376e966ae2ae721c771183228,Mint,11,2024-03-15
LAST OF US (feat. Rita Ora),"Gryffin, Rita Ora",LAST OF US (feat. Rita Ora),2024-02-16,2Mwmp4qVCe8CJcalsT4xm1,https://i.scdn.co/image/ab67616d0000b273f0c5b18be674664912c284d6,Mint,13,2024-03-15
Lovers In A Past Life (with Rag'n'Bone Man),"Calvin Harris, RagnBone Man",Lovers In A Past Life (with Rag'n'Bone Man),2024-02-16,6v4ABPB255HDSWyIj3S9Wn,https://i.scdn.co/image/ab67616d0000b273bb08484f74ca64acd08882a1,Mint,15,2024-03-15
Hard dreams,"Gesaffelstein, Yan Wagner",Hard dreams,2024-03-01,1sJAQWkZdaJDsPifl1fvOd,https://i.scdn.co/image/ab67616d0000b273ff150c335de3ac71a2ca424f,Mint,16,2024-03-15
