name,artists,album_name,date,song_id,cover_url,playlist,position,commit_date
You,"BUNT., Oaks",You,2024-11-15,3C2OYWQFRVEo4QoHZKTNBK,https://i.scdn.co/image/ab67616d0000b273f6b79ca793fdaf63eea9a281,Mint,21,2024-12-06
Overdose Of Bass,"Adam Beyer, Eli Brown",Overdose Of Bass,2024-11-22,3UnDvoDHicV3e2YLAeiTj5,https://i.scdn.co/image/ab67616d0000b2735aa7474b6239086016d84717,Mint,22,2024-12-06
Interstellar,KREAM,Interstellar,2024-11-29,2noFPSXtNacxDVlUn1qsgn,https://i.scdn.co/image/ab67616d0000b2736cb14c8f4bf4bc83b609dd79,Mint,24,2024-12-06
Stephanie,"Cloonee, Young M.A, InntRaw",Stephanie,2024-12-06,3sh2q76qsc7yLkQNmHKfQf,https://i.scdn.co/image/ab67616d0000b273a123b0691b660bfe112220c7,Mint,25,2024-12-06
King Steps,"Disclosure, Pa Salieu",King Steps,2024-11-27,3sO69gpldejjE93KvK3bUj,https://i.scdn.co/image/ab67616d0000b27386fbba7bdc4efe3a7963684a,Mint,27,2024-12-06
Damager,"Sammy Virji, Interplanetary Criminal",Damager,2024-11-15,7lNxQksP0anFNGEq8zsjMS,https://i.scdn.co/image/ab67616d0000b27362278363545fa2de7446156e,Mint,29,2024-12-06
POOKIE'S REQUIEM,SAILORR,POOKIE'S REQUIEM,2024-11-07,0Cu1FFIqiLPHXDLCxTUUnR,https://i.scdn.co/image/ab67616d0000b2735e1d69f44c1151c44925bcb3,BigOnTheInternet,3,2024-12-06
What Is This Feeling?,"Ariana Grande, Cynthia Erivo",Wicked: The Soundtrack,2024-11-22,7eGuPhpdS8sBjPJNuAShUX,https://i.scdn.co/image/ab67616d0000b27341ded89391c5350f6b8f991c,BigOnTheInternet,9,2024-12-06
Ma Meilleure Ennemie (from the series Arcane League of Legends),"Arcane, Stromae, Pomme",Arcane League of Legends: Season 2 (Soundtrack from the Animated Series),2024-11-23,2LwsunYgfRoqyIsNtgOCQx,https://i.scdn.co/image/ab67616d0000b2734aaf2413384c1efcc38353c6,BigOnTheInternet,12,2024-12-06
tv off (feat. lefty gunplay),"Kendrick Lamar, Lefty Gunplay",GNX,2024-11-22,0aB0v4027ukVziUGwVGYpG,https://i.scdn.co/image/ab67616d0000b273d9985092cd88bffd97653b58,BigOnTheInternet,18,2024-12-06
2 hands,Tate McRae,2 hands,2024-11-14,1f18HzFpegqvH4ibGJyeMJ,https://i.scdn.co/image/ab67616d0000b2733b53b3afd0c28613b964769e,FutursHits,1,2024-12-06
NANANI NANANA,Gazo,APOCALYPSE,2024-11-29,0qlYaRFGvgR6afy1f4BBwD,https://i.scdn.co/image/ab67616d0000b273dfc950ea8ef5cf436cf1c6d4,FutursHits,3,2024-12-06
Nice To Meet You,Myles Smith,A Minute...,2024-11-08,726SEjbF3ToEbYbn43gnxl,https://i.scdn.co/image/ab67616d0000b2739ddcb072adff08acd2501a06,FutursHits,5,2024-12-06
Run It,Jelly Roll,Run It,2024-11-22,5GwOJaOWIuRi5eebSRnstT,https://i.scdn.co/image/ab67616d0000b2739e5c6f60892ed2197833ad8c,FutursHits,7,2024-12-06
Mauvais garçon,Helena,Mauvais garçon,2024-11-20,32cwemsMJdzzsOYjVzfYMS,https://i.scdn.co/image/ab67616d0000b2731ad45d8cc9f48fc3c2dcae5d,FutursHits,8,2024-12-06
Alpha,"Damso, Kalash",Alpha,2024-11-13,2dVDbbS9W6n6YY80R4aJdZ,https://i.scdn.co/image/ab67616d0000b2732f2eb6807fb12361cb9a9185,FutursHits,9,2024-12-06
Good News,Shaboozey,Good News,2024-11-15,54p6vNJwGkt4FTaM8SCsxt,https://i.scdn.co/image/ab67616d0000b273c97e11e794ddcd2c353ea390,FutursHits,10,2024-12-06
number one girl,ROSÉ,number one girl,2024-11-22,02CrqOYzrJR8fYOffhvRZZ,https://i.scdn.co/image/ab67616d0000b273d890cfcc7d4c9157fac9defc,FutursHits,17,2024-12-06
Enfant de nulle part,Nuit Incolore,Enfant de nulle part,2024-11-12,4e675JEKw1nH70jmYxGwZM,https://i.scdn.co/image/ab67616d0000b27389b80e2c55c46298389d7d0c,FutursHits,18,2024-12-06
1 Minute,"Lynda, Imen Es",1 Minute,2024-11-21,7LhktSmPFZ2NT5CJlBZftB,https://i.scdn.co/image/ab67616d0000b2735cf17e731b22a5531e403057,FutursHits,19,2024-12-06
Another Part Of Me (feat. Sting),"Snoop Dogg, Dr. Dre, Sting",Another Part Of Me (feat. Sting),2024-11-29,50u1vw4DS6QQxJNXiMuWed,https://i.scdn.co/image/ab67616d0000b273bc26704c66d1471965d67e0f,FutursHits,21,2024-12-06
Comment te remplacer,"Carbonne, DYSTINCT, Michaël Brun",Comment te remplacer,2024-12-06,4EHbJvvAV3WglgTCkeflah,https://i.scdn.co/image/ab67616d0000b273838729d687222ab94abe2ddc,FutursHits,22,2024-12-06
+57,"KAROL G, Feid, DFZM, Ovy On The Drums, J Balvin, Maluma, Ryan Castro, Blessd",+57,2024-11-08,3mg9jYNC1NihbthlglzrWP,https://i.scdn.co/image/ab67616d0000b273c665371d5e70273a44a8e301,FutursHits,23,2024-12-06
Tout tenter,"Damso, Angèle",J'AI MENTI.,2024-11-15,0VE1NQ4QwD6B69kSMfpIG7,https://i.scdn.co/image/ab67616d0000b273b26f76522d7f62afdc9ca18c,FutursHits,24,2024-12-06
