name,artists,album_name,date,song_id,cover_url,playlist,position,commit_date
Told You So,"Martin Garrix, Jex",Told You So,2024-11-22,52dEZA0A4siRTuA4e8w3ll,https://i.scdn.co/image/ab67616d0000b27374ed367a3007b962487f89bb,Mint,12,2024-12-13
Stephanie,"Cloonee, Young M.A, InntRaw",Stephanie,2024-12-06,3sh2q76qsc7yLkQNmHKfQf,https://i.scdn.co/image/ab67616d0000b273a123b0691b660bfe112220c7,Mint,13,2024-12-13
Heavy Heart,"Loco Dice, Skrillex, Fireboy DML",Heavy Heart,2024-11-29,0tI2NvbF31oQNop2UeIvsC,https://i.scdn.co/image/ab67616d0000b273479a0d2de40a1652b4cf2cf3,Mint,15,2024-12-13
Yosemite,"KETTAMA, Interplanetary Criminal",Yosemite,2024-12-13,2I7Ph7hRkjOMgy9WCsE4F3,https://i.scdn.co/image/ab67616d0000b2730d4ebb79e3f9961a08f7f541,Mint,19,2024-12-13
You,"BUNT., Oaks",You,2024-11-15,3C2OYWQFRVEo4QoHZKTNBK,https://i.scdn.co/image/ab67616d0000b273f6b79ca793fdaf63eea9a281,Mint,22,2024-12-13
Interstellar,KREAM,Interstellar,2024-11-29,2noFPSXtNacxDVlUn1qsgn,https://i.scdn.co/image/ab67616d0000b2736cb14c8f4bf4bc83b609dd79,Mint,26,2024-12-13
Overdose Of Bass,"Adam Beyer, Eli Brown",Overdose Of Bass,2024-11-22,3UnDvoDHicV3e2YLAeiTj5,https://i.scdn.co/image/ab67616d0000b2735aa7474b6239086016d84717,Mint,27,2024-12-13
King Steps,"Disclosure, Pa Salieu",King Steps,2024-11-27,3sO69gpldejjE93KvK3bUj,https://i.scdn.co/image/ab67616d0000b27386fbba7bdc4efe3a7963684a,Mint,29,2024-12-13
Peggy,Ceechynaa,Peggy,2024-12-05,6UPiTNzNmUFE59YkkyCs9n,https://i.scdn.co/image/ab67616d0000b2734e5fd26c04d140b0fd02e48d,BigOnTheInternet,6,2024-12-13
Ma Meilleure Ennemie (from the series Arcane League of Legends),"Arcane, Stromae, Pomme",Arcane League of Legends: Season 2 (Soundtrack from the Animated Series),2024-11-23,2LwsunYgfRoqyIsNtgOCQx,https://i.scdn.co/image/ab67616d0000b2734aaf2413384c1efcc38353c6,BigOnTheInternet,16,2024-12-13
tv off (feat. lefty gunplay),"Kendrick Lamar, Lefty Gunplay",GNX,2024-11-22,0aB0v4027ukVziUGwVGYpG,https://i.scdn.co/image/ab67616d0000b273d9985092cd88bffd97653b58,BigOnTheInternet,24,2024-12-13
Mauvais garçon,Helena,Mauvais garçon,2024-11-20,32cwemsMJdzzsOYjVzfYMS,https://i.scdn.co/image/ab67616d0000b2731ad45d8cc9f48fc3c2dcae5d,FutursHits,4,2024-12-13
2 hands,Tate McRae,2 hands,2024-11-14,1f18HzFpegqvH4ibGJyeMJ,https://i.scdn.co/image/ab67616d0000b2733b53b3afd0c28613b964769e,FutursHits,5,2024-12-13
Now Or Never,"Pitbull, Bon Jovi",Now Or Never,2024-11-14,5hG7MlKPCqUgtdwROUbBRS,https://i.scdn.co/image/ab67616d0000b27328f391d916a9abe7ddc8800e,FutursHits,8,2024-12-13
Run It,Jelly Roll,Run It,2024-11-22,5GwOJaOWIuRi5eebSRnstT,https://i.scdn.co/image/ab67616d0000b2739e5c6f60892ed2197833ad8c,FutursHits,9,2024-12-13
Boulot,"KeBlack, SDM",Boulot,2024-11-21,4opfWVuhV6uaLY3SqOQMv4,https://i.scdn.co/image/ab67616d0000b2737cd14da017ce5130216ce88d,FutursHits,11,2024-12-13
Good News,Shaboozey,Good News,2024-11-15,54p6vNJwGkt4FTaM8SCsxt,https://i.scdn.co/image/ab67616d0000b273c97e11e794ddcd2c353ea390,FutursHits,16,2024-12-13
number one girl,ROSÉ,number one girl,2024-11-22,02CrqOYzrJR8fYOffhvRZZ,https://i.scdn.co/image/ab67616d0000b273d890cfcc7d4c9157fac9defc,FutursHits,17,2024-12-13
Tout tenter,"Damso, Angèle",J'AI MENTI.,2024-11-15,0VE1NQ4QwD6B69kSMfpIG7,https://i.scdn.co/image/ab67616d0000b27387a9d8ad733419f6afa89457,FutursHits,21,2024-12-13
Comment te remplacer,"Carbonne, DYSTINCT, Michaël Brun",Comment te remplacer,2024-12-06,4EHbJvvAV3WglgTCkeflah,https://i.scdn.co/image/ab67616d0000b273838729d687222ab94abe2ddc,FutursHits,23,2024-12-13
Another Part Of Me (feat. Sting),"Snoop Dogg, Dr. Dre, Sting",Another Part Of Me (feat. Sting),2024-11-29,50u1vw4DS6QQxJNXiMuWed,https://i.scdn.co/image/ab67616d0000b273bc26704c66d1471965d67e0f,FutursHits,24,2024-12-13
Cortisol,Thoom,Cortisol,2024-12-04,1MmzDO0K0NJiLo8yHZLSIF,https://i.scdn.co/image/ab67616d0000b273ca8ba85e0c38a35a347c7a26,GooseBumps,12,2024-12-13
Cosas Pendientes,Maluma,Cosas Pendientes,2024-11-21,0iVEujJcafOBnxa654fJYu,https://i.scdn.co/image/ab67616d0000b2733e6665989eeb44e512a29571,ThisIsMaluma,1,2024-12-13
