name,artists,album_name,date,song_id,cover_url,playlist,position,commit_date
Only I,HAYLA,Only I,2024-10-30,0vdrnfVsWCOtxOTO8z0vaV,https://i.scdn.co/image/ab67616d0000b27398191f094952fb942ebddbd7,Mint,9,2024-11-22
Say What,"Rampa, Adam Port, &ME, chuala, Keinemusik",Say What,2024-10-25,2GwsSbo6IbNDVvcm9rtmal,https://i.scdn.co/image/ab67616d0000b2738e09b9e428468678d05cfb5f,Mint,10,2024-11-22
Talk To Me,"Champion, Four Tet, Skrillex, Naisha",Talk To Me,2024-11-01,6PpeV9uHMHbY2pYPvMwCDv,https://i.scdn.co/image/ab67616d0000b2737341e45dcde9a3ba52d4b677,Mint,11,2024-11-22
Hold On Me,"Kygo, Sandro Cavazza",Hold On Me,2024-11-15,4aPX3IT9cskOWmeZvOYc5s,https://i.scdn.co/image/ab67616d0000b273e4b5723a6f4bf559e41e08ce,Mint,13,2024-11-22
Run,"Elderbrook, Vintage Culture",Another Touch,2024-10-25,5dievmIbYB9iazzRM2qgEn,https://i.scdn.co/image/ab67616d0000b273f30b75a01f1d596a2d26f718,Mint,14,2024-11-22
RITMO,"Argy, Omiki, Son of Son",RITMO,2024-11-01,3ifvaAvaSYo1WDWXxAiv2A,https://i.scdn.co/image/ab67616d0000b273dc4a311c7c310c6390674571,Mint,15,2024-11-22
Overdose Of Bass,"Adam Beyer, Eli Brown",Overdose Of Bass,2024-11-22,3UnDvoDHicV3e2YLAeiTj5,https://i.scdn.co/image/ab67616d0000b2735aa7474b6239086016d84717,Mint,16,2024-11-22
hold my hand,"Knock2, Sophia Gripari",hold my hand,2024-10-25,3GPmn3HANnZTlEovc2J9nt,https://i.scdn.co/image/ab67616d0000b2731861d1d1e0617c1e2d563278,Mint,19,2024-11-22
Damager,"Sammy Virji, Interplanetary Criminal",Damager,2024-11-15,7lNxQksP0anFNGEq8zsjMS,https://i.scdn.co/image/ab67616d0000b27362278363545fa2de7446156e,Mint,20,2024-11-22
Hooligans,Steve Angello,Hooligans,2024-10-25,0btXZOm53lLGf4hV6piDpg,https://i.scdn.co/image/ab67616d0000b273e8b9481a38eb4493c3dd7495,Mint,22,2024-11-22
Shine On,"Kaskade, Wilkinson, Paige Cavell",Shine On,2024-10-30,1dzT7QlKDdGiF4PMreS2Yc,https://i.scdn.co/image/ab67616d0000b273943857f92995f4b629bc5f19,Mint,28,2024-11-22
Electricity,"Vintage Culture, Fancy Inc, Meca",Electricity,2024-11-08,2xPg0pFQD7W4Ds3queL5D9,https://i.scdn.co/image/ab67616d0000b273d44c971b36fe2aafaf9db6f2,Mint,29,2024-11-22
Like Him (feat. Lola Young),"Tyler, The Creator, Lola Young",CHROMAKOPIA,2024-10-28,6jbYpRPTEFl1HFKHk1IC0m,https://i.scdn.co/image/ab67616d0000b273124e9249fada4ff3c3a0739c,BigOnTheInternet,1,2024-11-22
To Ashes and Blood (from the series Arcane League of Legends),Woodkid,Arcane League of Legends: Season 2 (from the series Arcane League of Legends),2024-11-09,7fotwkvGTsn0N6KSia3TGW,https://i.scdn.co/image/ab67616d0000b2738d2e9d799b426e4b55e2ba97,BigOnTheInternet,5,2024-11-22
KONGOLESE SOUS BBL,Theodora,BAD BOY LOVESTORY,2024-11-01,7eqwODSSwRSniktCjCXZyW,https://i.scdn.co/image/ab67616d0000b273914a47c2fae7a4b4893eb34d,FutursHits,5,2024-11-22
Still Into You,"CYRIL, maryjo",Still Into You,2024-10-25,0GYx8Q9iS05CRe9kyzwAIL,https://i.scdn.co/image/ab67616d0000b2735a326566f4ad2e2c107ed580,FutursHits,9,2024-11-22
Disease,Lady Gaga,Disease,2024-10-25,19KlZwqlT3fguP2BeHF1Q1,https://i.scdn.co/image/ab67616d0000b273465e58cfc2ee480a7d0ae59d,FutursHits,10,2024-11-22
Where Do I Go,"Vianney, Rosa Linn",Where Do I Go,2024-10-30,1FNNYBfbDppq7NKGtQsMkF,https://i.scdn.co/image/ab67616d0000b2736f393a0c20a0c748b0ec6efc,FutursHits,17,2024-11-22
+57,"KAROL G, Feid, DFZM, Ovy On The Drums, J Balvin, Maluma, Ryan Castro, Blessd",+57,2024-11-08,3mg9jYNC1NihbthlglzrWP,https://i.scdn.co/image/ab67616d0000b273c665371d5e70273a44a8e301,FutursHits,22,2024-11-22
LET THE WORLD BURN (with G-Eazy & Ari Abdul) - Remix,"Chris Grey, G-Eazy, Ari Abdul",LET THE WORLD BURN (with G-Eazy & Ari Abdul) [Remix],2024-11-08,5wNDRMkoysXZGiW4ja5Tik,https://i.scdn.co/image/ab67616d0000b273206beee2738fb31c31264741,GooseBumps,6,2024-11-22
Questions,Presley Regier,Questions / Nightly,2024-10-25,3LpmZrDqY7GsCdCYHRqT3n,https://i.scdn.co/image/ab67616d0000b2739587429871af1e9209ba0cf1,GooseBumps,7,2024-11-22
Tempo,Trevor Daniel,Tempo,2024-10-25,4v4WtPd5Kd1UCYxti6t6Ij,https://i.scdn.co/image/ab67616d0000b273139cc92b5fdae2d78403c58b,GooseBumps,13,2024-11-22
Digging Around,chlothegod,Digging Around,2024-11-01,0mIGu8CxAwQbbwN439W5b3,https://i.scdn.co/image/ab67616d0000b273d7dc51c4f37eb987dc56eb8f,ItsAllGood,12,2024-11-22
