name,artists,album_name,date,song_id,cover_url,playlist,position,commit_date
MISS LILY'S,"Dinos, Hamza",MISS LILY'S,2024-11-28,5Kx1Lrn8DaVgiYxARqhchm,https://i.scdn.co/image/ab67616d0000b27321419c999dedd72a535c2e18,FutursHits,5,2024-12-20
Boulot,"KeBlack, SDM",Boulot,2024-11-21,4opfWVuhV6uaLY3SqOQMv4,https://i.scdn.co/image/ab67616d0000b2737cd14da017ce5130216ce88d,FutursHits,6,2024-12-20
Run It,Jelly Roll,Run It,2024-11-22,5GwOJaOWIuRi5eebSRnstT,https://i.scdn.co/image/ab67616d0000b2739e5c6f60892ed2197833ad8c,FutursHits,17,2024-12-20
number one girl,ROSÉ,number one girl,2024-11-22,02CrqOYzrJR8fYOffhvRZZ,https://i.scdn.co/image/ab67616d0000b273d890cfcc7d4c9157fac9defc,FutursHits,20,2024-12-20
Comment te remplacer,"Carbonne, DYSTINCT, Michaël Brun",Comment te remplacer,2024-12-06,4EHbJvvAV3WglgTCkeflah,https://i.scdn.co/image/ab67616d0000b273838729d687222ab94abe2ddc,FutursHits,21,2024-12-20
Another Part Of Me (feat. Sting),"Snoop Dogg, Dr. Dre, Sting",Another Part Of Me (feat. Sting),2024-11-29,50u1vw4DS6QQxJNXiMuWed,https://i.scdn.co/image/ab67616d0000b273bc26704c66d1471965d67e0f,FutursHits,25,2024-12-20
Et si tu sens - écrit par Grégory Lemarchal,Star Academy,Et si tu sens (écrit par Grégory Lemarchal),2024-11-23,4APtnl8hCS4PPBjaOGb1XV,https://i.scdn.co/image/ab67616d0000b2734d549353c850f5918269fdba,FutursHits,29,2024-12-20
Lejos de la Ciudad - con Camilo,"Daniela Spalla, Camilo",Lejos de la Ciudad (con Camilo),2024-12-06,3iDMvP8BZxE2Olorh2pWg9,https://i.scdn.co/image/ab67616d0000b273d3738e841e2a85f2c01afa08,CamiloRadio,12,2024-12-20
Ma Meilleure Ennemie (from the series Arcane League of Legends),"Stromae, Pomme, Arcane",Ma Meilleure Ennemie (from the series Arcane League of Legends),2024-11-23,4lriIG2vNqwDWzOj2I9rtj,https://i.scdn.co/image/ab67616d0000b2732aab4ea84f431ad7d92fecbb,HitRadioFr,23,2024-12-20
Where'd It Go Wrong?,d4vd,Where'd It Go Wrong?,2024-12-19,3l2asA2bO5lrwuiWneZbh0,https://i.scdn.co/image/ab67616d0000b273304baee1864fdb8dafc9cf23,CafeCroissant,1,2024-12-20
Grateful For,BØRNS,Grateful For,2024-12-06,5cE0uS4VSGwOGYc1K6joDH,https://i.scdn.co/image/ab67616d0000b273d4389d53ed1d8bdee6fb3633,CafeCroissant,2,2024-12-20
Riverside,Oracle Sisters,Riverside,2024-12-11,0YXkNJeNhSiSXNTjtNiniU,https://i.scdn.co/image/ab67616d0000b2731a338414ad1028aa3fb7b38d,CafeCroissant,3,2024-12-20
Rent California,James Vincent McMorrow,Rent California,2024-11-29,5pM6G3SNUe0YIvdbo6YMV8,https://i.scdn.co/image/ab67616d0000b2733faad940db0b1fa424c6cf78,CafeCroissant,4,2024-12-20
Still In Love,Chezile,Still In Love,2024-12-06,1B3YSc9Pgkf3S1ly3ks7kO,https://i.scdn.co/image/ab67616d0000b273a69fc439cdb6fc0151a9e017,CafeCroissant,6,2024-12-20
Colourblind (feat. Loyle Carner),"Tom Misch, Loyle Carner",Colourblind (feat. Loyle Carner),2024-12-06,5I2qYkrOpXBNEM6SxUMdPM,https://i.scdn.co/image/ab67616d0000b27351cef89eaead1533eaa34249,CafeCroissant,9,2024-12-20
sunflower ‘24,November Ultra,postcard season,2024-11-22,4B5bFK1CWLg3MHo56HNizi,https://i.scdn.co/image/ab67616d0000b273f7fee975efa445caf170a40a,CafeCroissant,11,2024-12-20
Destruction,Cocoon,Destruction,2024-12-06,5UXWE2YprzKonI14ZIB4Sd,https://i.scdn.co/image/ab67616d0000b273c092deb3e917a16f76318b28,CafeCroissant,12,2024-12-20
Ocean,"FISHER, AR/CO",Ocean,2024-11-29,6jhAJgaS9OttFwP5Cn8WII,https://i.scdn.co/image/ab67616d0000b2730445db0af0b11d14db1c4cfa,Mint,1,2024-12-20
little mystery,"Fred again.., John Martyn",two more days,2024-12-13,0BVIfVKh1wkQjNK32GMHM2,https://i.scdn.co/image/ab67616d0000b2738b6824246e04486add9e6391,Mint,2,2024-12-20
Next To Me,"Don Diablo, MK, Gaby Gerlis",Next To Me,2024-12-13,6nEsyBcYBDN9rQ2c9Nh1kO,https://i.scdn.co/image/ab67616d0000b273e229c5ec91d1440e9d5971a0,Mint,3,2024-12-20
Say My Name - Remix,"Morgan Seatree, Florence + The Machine",Say My Name (Remix),2024-12-06,6GOOcBV0wLoHrH5D9AWA32,https://i.scdn.co/image/ab67616d0000b27385bcbf7c2ea2c1da340e994f,Mint,4,2024-12-20
Body Talk (feat. Clementine Douglas),"Alok, Clementine Douglas",Body Talk (feat. Clementine Douglas),2024-12-06,7xn2WAbQfGjh8Xjs7zEWGf,https://i.scdn.co/image/ab67616d0000b27329ee99a134a983d13417af96,Mint,5,2024-12-20
Una Velita,Tiësto,Una Velita,2024-12-20,2KP7x5rt44zaTgcKBdLKkT,https://i.scdn.co/image/ab67616d0000b273dc3b8315fa3c4529d5d1ea1d,Mint,6,2024-12-20
come aliv3,"RL Grime, Knock2, Abi Flynn",come aliv3,2024-12-06,0NFmxRKCW4FoJkn70k54CE,https://i.scdn.co/image/ab67616d0000b27329351bbf518d3432e38fc475,Mint,10,2024-12-20
Stephanie,"Cloonee, Young M.A, InntRaw",Stephanie,2024-12-06,3sh2q76qsc7yLkQNmHKfQf,https://i.scdn.co/image/ab67616d0000b273a123b0691b660bfe112220c7,Mint,11,2024-12-20
C'mon Look! (feat. Asake),"Sarz, Asake",C'mon Look! (feat. Asake),2024-12-12,0PmnXWLh2KXKF4K65HH0SY,https://i.scdn.co/image/ab67616d0000b27337edea1b55973a0a8278637a,Mint,13,2024-12-20
Heartbreak,"Boombox Cartel, Dillon Francis, Nevve, urboi.",Heartbreak,2024-12-13,78MlxXcdUIYlYH5TNSjEut,https://i.scdn.co/image/ab67616d0000b2736d74d7d92f7b76ec39b18b99,Mint,16,2024-12-20
Heavy Heart,"Loco Dice, Skrillex, Fireboy DML",Heavy Heart,2024-11-29,0tI2NvbF31oQNop2UeIvsC,https://i.scdn.co/image/ab67616d0000b273479a0d2de40a1652b4cf2cf3,Mint,18,2024-12-20
Told You So,"Martin Garrix, Jex",Told You So,2024-11-22,52dEZA0A4siRTuA4e8w3ll,https://i.scdn.co/image/ab67616d0000b27374ed367a3007b962487f89bb,Mint,19,2024-12-20
Yosemite,"KETTAMA, Interplanetary Criminal",Yosemite,2024-12-13,2I7Ph7hRkjOMgy9WCsE4F3,https://i.scdn.co/image/ab67616d0000b27337ca5edb0040c681ca2ea516,Mint,21,2024-12-20
Keep It Exciting,"Mr. Belt & Wezol, Qobra, Alex Hosking",Keep It Exciting,2024-11-22,4hks1EK6HEi0yNn9qCEXUp,https://i.scdn.co/image/ab67616d0000b27308f2b0513186a35c69b229b9,Mint,25,2024-12-20
Interstellar,KREAM,Interstellar,2024-11-29,2noFPSXtNacxDVlUn1qsgn,https://i.scdn.co/image/ab67616d0000b27322ce11e7ace32b5a9386e688,Mint,29,2024-12-20
Cortisol,Thoom,Cortisol,2024-12-04,1MmzDO0K0NJiLo8yHZLSIF,https://i.scdn.co/image/ab67616d0000b273ca8ba85e0c38a35a347c7a26,GooseBumps,11,2024-12-20
luther (with sza),"Kendrick Lamar, SZA",GNX,2024-11-22,45J4avUb9Ni0bnETYaYFVJ,https://i.scdn.co/image/ab67616d0000b273d9985092cd88bffd97653b58,JustHits,1,2024-12-20
Baby It’s Both (Tick-Tack English Ver.) (Feat. Ava Max),"ILLIT, Ava Max",Baby It’s Both (Tick-Tack English Ver.) (Feat. Ava Max),2024-11-22,26Lm1VpF6behZ8q6DKjI5z,https://i.scdn.co/image/ab67616d0000b273f536b40bb62f6caa92dee99c,JustHits,13,2024-12-20
Hello Miss Johnson,Jack Harlow,Hello Miss Johnson,2024-11-21,6gH1UKDAhWS6qXzKXB4wuY,https://i.scdn.co/image/ab67616d0000b2738ad20aef4c717994ec4ede86,JustHits,16,2024-12-20
HURT (feat. The Warning),"Dead Poet Society, The Warning",HURT (feat. The Warning),2024-12-12,0JKhtLEsm4Rij2HK6LyLYc,https://i.scdn.co/image/ab67616d0000b273e2cfee8fb511b55245409602,RockThis,4,2024-12-13
SLEEP WHEN I'M DEAD,Jack Kays,DEADBEAT!,2024-11-22,1SgrtfTB9QmIihcmj4NRNO,https://i.scdn.co/image/ab67616d0000b2732a20e68cda9203cbf868dfc1,RockThis,5,2024-12-13
she will be missed,EKKSTACY,she will be missed,2024-12-13,39ZMuvrb2P0aCWbVyUpBe6,https://i.scdn.co/image/ab67616d0000b2737d5d12ffcc937c8d9f2c6282,RockThis,10,2024-12-13
For The Hell Of It,Sawyer Hill,For The Hell Of It,2024-12-03,1LsilTAFvxGArcUnp0W3YW,https://i.scdn.co/image/ab67616d0000b273a9eb992ed838bc77ad694211,RockThis,15,2024-12-13
The Line (from the series Arcane League of Legends),"Twenty One Pilots, Arcane, League of Legends",The Line (from the series Arcane League of Legends),2024-11-22,3qrTll9OQ9wcejTxPFY0qg,https://i.scdn.co/image/ab67616d0000b2738a577010b0baa62c836e330b,RockThis,21,2024-12-13
sunflower ‘24,November Ultra,postcard season,2024-11-22,4B5bFK1CWLg3MHo56HNizi,https://i.scdn.co/image/ab67616d0000b273f7fee975efa445caf170a40a,CafeCroissant,1,2024-12-13
Colourblind (feat. Loyle Carner),"Tom Misch, Loyle Carner",Colourblind (feat. Loyle Carner),2024-12-06,5I2qYkrOpXBNEM6SxUMdPM,https://i.scdn.co/image/ab67616d0000b27351cef89eaead1533eaa34249,CafeCroissant,2,2024-12-13
Destruction,Cocoon,Destruction,2024-12-06,5UXWE2YprzKonI14ZIB4Sd,https://i.scdn.co/image/ab67616d0000b273c092deb3e917a16f76318b28,CafeCroissant,4,2024-12-13
Rent California,James Vincent McMorrow,Rent California,2024-11-29,5pM6G3SNUe0YIvdbo6YMV8,https://i.scdn.co/image/ab67616d0000b2733faad940db0b1fa424c6cf78,CafeCroissant,5,2024-12-13
Grateful For,BØRNS,Grateful For,2024-12-06,5cE0uS4VSGwOGYc1K6joDH,https://i.scdn.co/image/ab67616d0000b273d4389d53ed1d8bdee6fb3633,CafeCroissant,9,2024-12-13
Still In Love,Chezile,Still In Love,2024-12-06,1B3YSc9Pgkf3S1ly3ks7kO,https://i.scdn.co/image/ab67616d0000b273a69fc439cdb6fc0151a9e017,CafeCroissant,12,2024-12-13
Riverside,Oracle Sisters,Riverside,2024-12-11,0YXkNJeNhSiSXNTjtNiniU,https://i.scdn.co/image/ab67616d0000b2731a338414ad1028aa3fb7b38d,CafeCroissant,20,2024-12-13
Next To Me,"Don Diablo, MK, Gaby Gerlis",Next To Me,2024-12-13,6nEsyBcYBDN9rQ2c9Nh1kO,https://i.scdn.co/image/ab67616d0000b273e229c5ec91d1440e9d5971a0,Mint,1,2024-12-13
Ocean,"FISHER, AR/CO",Ocean,2024-11-29,6jhAJgaS9OttFwP5Cn8WII,https://i.scdn.co/image/ab67616d0000b2730445db0af0b11d14db1c4cfa,Mint,2,2024-12-13
little mystery,"Fred again.., John Martyn",two more days,2024-12-13,0BVIfVKh1wkQjNK32GMHM2,https://i.scdn.co/image/ab67616d0000b2739e34b7b1d4c1e48361128976,Mint,3,2024-12-13
Body Talk (feat. Clementine Douglas),"Alok, Clementine Douglas",Body Talk (feat. Clementine Douglas),2024-12-06,7xn2WAbQfGjh8Xjs7zEWGf,https://i.scdn.co/image/ab67616d0000b27329ee99a134a983d13417af96,Mint,4,2024-12-13
come aliv3,"RL Grime, Knock2, Abi Flynn",come aliv3,2024-12-06,0NFmxRKCW4FoJkn70k54CE,https://i.scdn.co/image/ab67616d0000b27329351bbf518d3432e38fc475,Mint,8,2024-12-13
C'mon Look! (feat. Asake),"Sarz, Asake",C'mon Look! (feat. Asake),2024-12-12,0PmnXWLh2KXKF4K65HH0SY,https://i.scdn.co/image/ab67616d0000b27337edea1b55973a0a8278637a,Mint,9,2024-12-13
Told You So,"Martin Garrix, Jex",Told You So,2024-11-22,52dEZA0A4siRTuA4e8w3ll,https://i.scdn.co/image/ab67616d0000b27374ed367a3007b962487f89bb,Mint,12,2024-12-13
Stephanie,"Cloonee, Young M.A, InntRaw",Stephanie,2024-12-06,3sh2q76qsc7yLkQNmHKfQf,https://i.scdn.co/image/ab67616d0000b273a123b0691b660bfe112220c7,Mint,13,2024-12-13
Heavy Heart,"Loco Dice, Skrillex, Fireboy DML",Heavy Heart,2024-11-29,0tI2NvbF31oQNop2UeIvsC,https://i.scdn.co/image/ab67616d0000b273479a0d2de40a1652b4cf2cf3,Mint,15,2024-12-13
Yosemite,"KETTAMA, Interplanetary Criminal",Yosemite,2024-12-13,2I7Ph7hRkjOMgy9WCsE4F3,https://i.scdn.co/image/ab67616d0000b2730d4ebb79e3f9961a08f7f541,Mint,19,2024-12-13
Interstellar,KREAM,Interstellar,2024-11-29,2noFPSXtNacxDVlUn1qsgn,https://i.scdn.co/image/ab67616d0000b2736cb14c8f4bf4bc83b609dd79,Mint,26,2024-12-13
Overdose Of Bass,"Adam Beyer, Eli Brown",Overdose Of Bass,2024-11-22,3UnDvoDHicV3e2YLAeiTj5,https://i.scdn.co/image/ab67616d0000b2735aa7474b6239086016d84717,Mint,27,2024-12-13
King Steps,"Disclosure, Pa Salieu",King Steps,2024-11-27,3sO69gpldejjE93KvK3bUj,https://i.scdn.co/image/ab67616d0000b27386fbba7bdc4efe3a7963684a,Mint,29,2024-12-13
Peggy,Ceechynaa,Peggy,2024-12-05,6UPiTNzNmUFE59YkkyCs9n,https://i.scdn.co/image/ab67616d0000b2734e5fd26c04d140b0fd02e48d,BigOnTheInternet,6,2024-12-13
Ma Meilleure Ennemie (from the series Arcane League of Legends),"Arcane, Stromae, Pomme",Arcane League of Legends: Season 2 (Soundtrack from the Animated Series),2024-11-23,2LwsunYgfRoqyIsNtgOCQx,https://i.scdn.co/image/ab67616d0000b2734aaf2413384c1efcc38353c6,BigOnTheInternet,16,2024-12-13
tv off (feat. lefty gunplay),"Kendrick Lamar, Lefty Gunplay",GNX,2024-11-22,0aB0v4027ukVziUGwVGYpG,https://i.scdn.co/image/ab67616d0000b273d9985092cd88bffd97653b58,BigOnTheInternet,24,2024-12-13
Run It,Jelly Roll,Run It,2024-11-22,5GwOJaOWIuRi5eebSRnstT,https://i.scdn.co/image/ab67616d0000b2739e5c6f60892ed2197833ad8c,FutursHits,9,2024-12-13
Boulot,"KeBlack, SDM",Boulot,2024-11-21,4opfWVuhV6uaLY3SqOQMv4,https://i.scdn.co/image/ab67616d0000b2737cd14da017ce5130216ce88d,FutursHits,11,2024-12-13
number one girl,ROSÉ,number one girl,2024-11-22,02CrqOYzrJR8fYOffhvRZZ,https://i.scdn.co/image/ab67616d0000b273d890cfcc7d4c9157fac9defc,FutursHits,17,2024-12-13
Comment te remplacer,"Carbonne, DYSTINCT, Michaël Brun",Comment te remplacer,2024-12-06,4EHbJvvAV3WglgTCkeflah,https://i.scdn.co/image/ab67616d0000b273838729d687222ab94abe2ddc,FutursHits,23,2024-12-13
Another Part Of Me (feat. Sting),"Snoop Dogg, Dr. Dre, Sting",Another Part Of Me (feat. Sting),2024-11-29,50u1vw4DS6QQxJNXiMuWed,https://i.scdn.co/image/ab67616d0000b273bc26704c66d1471965d67e0f,FutursHits,24,2024-12-13
Cortisol,Thoom,Cortisol,2024-12-04,1MmzDO0K0NJiLo8yHZLSIF,https://i.scdn.co/image/ab67616d0000b273ca8ba85e0c38a35a347c7a26,GooseBumps,12,2024-12-13
Cosas Pendientes,Maluma,Cosas Pendientes,2024-11-21,0iVEujJcafOBnxa654fJYu,https://i.scdn.co/image/ab67616d0000b2733e6665989eeb44e512a29571,ThisIsMaluma,1,2024-12-13
Ma Meilleure Ennemie (from the series Arcane League of Legends),"Stromae, Pomme, Arcane",Ma Meilleure Ennemie (from the series Arcane League of Legends),2024-11-23,4lriIG2vNqwDWzOj2I9rtj,https://i.scdn.co/image/ab67616d0000b2732aab4ea84f431ad7d92fecbb,ThisIsStromae,4,2024-12-13
luther (with sza),"Kendrick Lamar, SZA",GNX,2024-11-22,45J4avUb9Ni0bnETYaYFVJ,https://i.scdn.co/image/ab67616d0000b273d9985092cd88bffd97653b58,TodayTopHits,2,2024-12-13
toxic till the end,ROSÉ,rosie,2024-12-06,1z5ebC9238uGoBgzYyvGpQ,https://i.scdn.co/image/ab67616d0000b2735074bd0894cb1340b8d8a678,TodayTopHits,10,2024-12-13
EL CLúB,Bad Bunny,EL CLúB,2024-12-05,3zOgFY5kpQ6p2cwPIquZks,https://i.scdn.co/image/ab67616d0000b2734331112097a80e410d085ec0,TodayTopHits,15,2024-12-13
NADIE,Tito Double P,NADIE,2024-11-21,7sd6zMrgGpEa7NkQm9TRrg,https://i.scdn.co/image/ab67616d0000b273369bcf083996da3c3b6d1f40,VivaLatino,2,2024-12-13
EL CLúB,Bad Bunny,EL CLúB,2024-12-05,3zOgFY5kpQ6p2cwPIquZks,https://i.scdn.co/image/ab67616d0000b2734331112097a80e410d085ec0,VivaLatino,4,2024-12-13
MIRAME REMIX,"Blessd, Anuel AA, Ovy On The Drums",MIRAME REMIX,2024-12-11,2S8bH7ABqJ02bWeH8bgQfU,https://i.scdn.co/image/ab67616d0000b273813dd84caa42f3c2b2402cde,VivaLatino,10,2024-12-13
gervonta,Peso Pluma,gervonta,2024-12-05,0hfXHqWhOpbR9YQmQojDMN,https://i.scdn.co/image/ab67616d0000b2730892be1577c5cdb7eee47fa7,VivaLatino,11,2024-12-13
Cosas Pendientes,Maluma,Cosas Pendientes,2024-11-21,0iVEujJcafOBnxa654fJYu,https://i.scdn.co/image/ab67616d0000b2733e6665989eeb44e512a29571,VivaLatino,12,2024-12-13
ROSONES,Tito Double P,ROSONES,2024-12-05,0LTwdL5yZ6YOTEGUQPFuSN,https://i.scdn.co/image/ab67616d0000b273c6d0e8bfb41e9d9cee3a1248,VivaLatino,14,2024-12-13
GRAN VÍA,"Quevedo, Aitana",BUENAS NOCHES,2024-11-22,2kQ1OvmMzs1xdlH020aJJh,https://i.scdn.co/image/ab67616d0000b2734b690afba75a356fcdad526e,VivaLatino,21,2024-12-13
Te Regalo,"Rels B, J Abecia",Te Regalo,2024-12-04,2318Aoqig6HS9YkHGlAm8T,https://i.scdn.co/image/ab67616d0000b273642825c5723035f43a899da5,VivaLatino,26,2024-12-13
luther (with sza),"Kendrick Lamar, SZA",GNX,2024-11-22,45J4avUb9Ni0bnETYaYFVJ,https://i.scdn.co/image/ab67616d0000b273d9985092cd88bffd97653b58,JustHits,3,2024-12-13
Baby It’s Both (Tick-Tack English Ver.) (Feat. Ava Max),"ILLIT, Ava Max",Baby It’s Both (Tick-Tack English Ver.) (Feat. Ava Max),2024-11-22,26Lm1VpF6behZ8q6DKjI5z,https://i.scdn.co/image/ab67616d0000b273f536b40bb62f6caa92dee99c,JustHits,12,2024-12-13
Hello Miss Johnson,Jack Harlow,Hello Miss Johnson,2024-11-21,6gH1UKDAhWS6qXzKXB4wuY,https://i.scdn.co/image/ab67616d0000b2738ad20aef4c717994ec4ede86,JustHits,15,2024-12-13
Cosas Pendientes,Maluma,Cosas Pendientes,2024-11-21,0iVEujJcafOBnxa654fJYu,https://i.scdn.co/image/ab67616d0000b2733e6665989eeb44e512a29571,ExitosColombia,10,2024-12-13
Ma Meilleure Ennemie (from the series Arcane League of Legends),"Arcane, Stromae, Pomme",Arcane League of Legends: Season 2 (Soundtrack from the Animated Series),2024-11-23,2LwsunYgfRoqyIsNtgOCQx,https://i.scdn.co/image/ab67616d0000b2734aaf2413384c1efcc38353c6,GrandHit,4,2024-12-13
"Adieu, nous deux",Pierre Garnier,Chaque seconde (Edition deluxe),2024-11-22,6y8LXTxgfWkU6kGhLnK2XH,https://i.scdn.co/image/ab67616d0000b273339a041f7ee99bcd94e99c74,GrandHit,10,2024-12-13
C'est l'heure,Ben Mazué,C'est l'heure,2024-11-27,4OiEMGO4SgvwDFqEbBSIHN,https://i.scdn.co/image/ab67616d0000b273025f204693528bf3e3732693,GrandHit,16,2024-12-13
La gloire de nos pères,Patrick Fiori,La gloire de nos pères,2024-11-29,4TLTVC2ptKtrlUzkBSXq0A,https://i.scdn.co/image/ab67616d0000b2736d01c44643c4469bfbe52348,GrandHit,20,2024-12-13
SLEEP WHEN I'M DEAD,Jack Kays,DEADBEAT!,2024-11-22,1SgrtfTB9QmIihcmj4NRNO,https://i.scdn.co/image/ab67616d0000b2732a20e68cda9203cbf868dfc1,RockThis,6,2024-12-06
For The Hell Of It,Sawyer Hill,For The Hell Of It,2024-12-03,1LsilTAFvxGArcUnp0W3YW,https://i.scdn.co/image/ab67616d0000b273a9eb992ed838bc77ad694211,RockThis,11,2024-12-06
The Line (from the series Arcane League of Legends),"Twenty One Pilots, Arcane, League of Legends",The Line (from the series Arcane League of Legends),2024-11-22,3qrTll9OQ9wcejTxPFY0qg,https://i.scdn.co/image/ab67616d0000b2738a577010b0baa62c836e330b,RockThis,20,2024-12-06
Rent California,James Vincent McMorrow,Rent California,2024-11-29,5pM6G3SNUe0YIvdbo6YMV8,https://i.scdn.co/image/ab67616d0000b2733faad940db0b1fa424c6cf78,CafeCroissant,6,2024-12-06
